season,school,player_name,jersey_number,position,class_year,height,weight,hometown,high_school,profile_url,roster_url,team_record_2025,team_w_2025,team_l_2025,team_t_2025
2025,UCLA,Vinnie Merk,25,Attacker,Redshirt Junior,6-3,,"Huntington Beach, Calif.",Mater Dei HS,https://uclabruins.com/sports/mens-water-polo/roster/vinnie-merk/15406,https://uclabruins.com/sports/mens-water-polo/roster,,,,
2025,USC,Luke Harris,1,G,Fr.,6-2,,"Newport Beach, Calif.",Newport Harbor HS,https://usctrojans.com/sports/mens-water-polo/roster/luke-harris/18449,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Charles Mills,1,G,R-So.,6-5,,"Tiburon, Calif.",Redwood HS,https://usctrojans.com/sports/mens-water-polo/roster/charles-mills/18454,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Nemo Pavoggi,1,G,So.,6-2,,"Porter Ranch, Calif.",Oaks Christian HS,https://usctrojans.com/sports/mens-water-polo/roster/nemo-pavoggi/18458,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Evan Ausmus,2,DR,Sr.,6-0,,"Riverside, Calif.",Martin Luther King HS,https://usctrojans.com/sports/mens-water-polo/roster/evan-ausmus/18436,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Stefan Brankovic,2,UT,Jr.,6-4,,"Belgrade, Serbia",Economic School,https://usctrojans.com/sports/mens-water-polo/roster/stefan-brankovic/18441,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Jack Martin,4,2M,R-Sr.,6-3,,"San Diego, Calif.",The Bishop's School,https://usctrojans.com/sports/mens-water-polo/roster/jack-martin/18453,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Gavin Conant,5,DR,Fr.,6-2,,"Rancho Santa Fe, Calif.",JSerra HS,https://usctrojans.com/sports/mens-water-polo/roster/gavin-conant/18444,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Jack Vort,6,DR,Sr.,6-4,,"Palo Alto, Calif.",Sacred Heart Prep,https://usctrojans.com/sports/mens-water-polo/roster/jack-vort/18460,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Andrej Grgurevic,7,UT,Sr.,6-7,,"Sydney, Australia",Newington College,https://usctrojans.com/sports/mens-water-polo/roster/andrej-grgurevic/18447,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Zac Crenshaw,8,2M,Sr.,6-3,,"Long Beach, Calif.",Wilson HS,https://usctrojans.com/sports/mens-water-polo/roster/zac-crenshaw/18446,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Robert L pez Duart,9,DR,Jr.,6-1,,"Barcelona, Spain",IES CAR de Sant Cugat,https://usctrojans.com/sports/mens-water-polo/roster/robert-lpez-duart/18452,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Luke Nelson,10,UT,Jr.,6-6,,"Old Greenwich, Conn.",Greenwich Country Day HS,https://usctrojans.com/sports/mens-water-polo/roster/luke-nelson/18457,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Strahinja Krstic,11,2M,Fr.,6-3,,"Belgrade, Serbia",Savremena Gimazija,https://usctrojans.com/sports/mens-water-polo/roster/strahinja-krstic/18450,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Mihailo Vukazic,12,DR,Sr.,6-7,,"Belgrade, Serbia",Secondary Graphic School,https://usctrojans.com/sports/mens-water-polo/roster/mihailo-vukazic/18461,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Reed Hanna,13,2M,Fr.,6-4,,"Mill Valley, Calif.",Tamalpais HS,https://usctrojans.com/sports/mens-water-polo/roster/reed-hanna/18448,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Colt Bradley,14,UT,Fr.,6-3,,"Huntington Beach, Calif.",JSerra HS,https://usctrojans.com/sports/mens-water-polo/roster/colt-bradley/18440,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Breydon Congo,15,DR,Fr.,6-4,,"Danville, Calif.",De La Salle HS,https://usctrojans.com/sports/mens-water-polo/roster/breydon-congo/18445,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Ben Mirisch,16,UT,So.,6-6,,"San Diego, Calif.",Cathedral Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/ben-mirisch/18463,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Efe Naipoglu,17,DR,Fr.,6-3,,"Istanbul, Türkiye",Notre Dame de Sion French HS,https://usctrojans.com/sports/mens-water-polo/roster/efe-naipoglu/18456,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Connor Cohen,21,2M,Sr.,6-3,,"Newport Beach, Calif.",Santa Margarita Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/connor-cohen/18443,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Taj Whitehead,22,DR,So.,6-4,,"Palos Verdes Estates, Calif.",Palos Verdes HS,https://usctrojans.com/sports/mens-water-polo/roster/taj-whitehead/18462,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Chase Landa,23,DR,R-So.,6-0,,"La Jolla, Calif.",The Bishop's School,https://usctrojans.com/sports/mens-water-polo/roster/chase-landa/18451,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Spencer Averitt,27,2M,Jr.,6-2,,"Ladera Ranch, Calif.",Santa Margarita Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/spencer-averitt/18437,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,USC,Zach Bettino,28,DR,Jr.,6-3,,"Huntington Beach, Calif.",Huntington Beach HS,https://usctrojans.com/sports/mens-water-polo/roster/zach-bettino/18439,https://usctrojans.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Men's Basketball - Roster,,,,,,,,https://gostanford.com/sports/mens-basketball/roster/,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Alex Gheorghe Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/alex-gheorghe,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Ben Forer Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ben-forer,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Ben Oerlemans Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ben-oerlemans,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Botond Balogh Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/botond-balogh,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Chase McFarland Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/chase-mcfarland,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Christopher Arakelian Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/christopher-arakelian,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,CJ Indart Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/cj-indart,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Collin Caras Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/collin-caras,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Cormac Mulloy Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/cormac-mulloy,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Daniel Mnatsakanian Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/daniel-mnatsakanian,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Gavin West Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/gavin-west,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Gianpiero Di Martire Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/gianpiero-di-martire,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Guido Leonardi Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/guido-leonardi,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Harrison Rohlen Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/harrison-rohlen,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Jordan De Sousa Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/jordan-de-sousa,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Konstantinos Mathiopoulos Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/konstantinos-mathiopoulos,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Max Zelikov Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/max-zelikov,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Orestis Zervoudakis Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/orestis-zervoudakis,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Ryan Ohl Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ryan-ohl,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Simone De Vecchis Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/simone-de-vecchis,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Tanner Pulice Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/tanner-pulice,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Vincent Krilanovich Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/vincent-krilanovich,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,West Temkin Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/west-temkin,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Will Schneider Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/will-schneider,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Brian Flacks,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/season/2025/staff/brian-flacks,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Matt Farmer,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/season/2025/staff/matt-farmer,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Ryan Neapole,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/season/2025/staff/ryan-neapole,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,Stanford,Soren Jensen,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/season/2025/staff/soren-jensen,https://gostanford.com/sports/mens-water-polo/roster,,,,
2025,California,Riley Clansen,1,"Goalkeeper GK 6'2"" 200 lbs",R-So.,6-2,,"Santa Ana, Calif.",,https://calbears.com/sports/mens-water-polo/roster/riley-clansen/26809,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Riley Clansen,1,"Goalkeeper GK 6'2"" 200 lbs",R-So.,6-2,,"Santa Ana, Calif.",,https://calbears.com/sports/mens-water-polo/roster/riley-clansen/26809,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,James Peace III,1,"Goalkeeper G 6'6"" 208 lbs",R-Fr.,6-6,,Los Angeles,,https://calbears.com/sports/mens-water-polo/roster/james-peace-iii/26817,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,James Peace III,1,"Goalkeeper G 6'6"" 208 lbs",R-Fr.,6-6,,Los Angeles,,https://calbears.com/sports/mens-water-polo/roster/james-peace-iii/26817,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Aran Pina,1,Goalkeeper GK,Fr.,,,,,https://calbears.com/sports/mens-water-polo/roster/aran-pina/26932,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Aran Pina,1,Goalkeeper GK,Fr.,,,,,https://calbears.com/sports/mens-water-polo/roster/aran-pina/26932,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Tomas Perrone,2,Attacker ATT,Fr.,,,"Barcelona, Spain",,https://calbears.com/sports/mens-water-polo/roster/tomas-perrone/26926,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Tomas Perrone,2,Attacker ATT,Fr.,,,"Barcelona, Spain",,https://calbears.com/sports/mens-water-polo/roster/tomas-perrone/26926,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Kai Inoue,3,"Attacker ATT 5'10""",Fr.,5-10,,"Huntington Beach, Calif.",,https://calbears.com/sports/mens-water-polo/roster/kai-inoue/26924,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Kai Inoue,3,"Attacker ATT 5'10""",Fr.,5-10,,"Huntington Beach, Calif.",,https://calbears.com/sports/mens-water-polo/roster/kai-inoue/26924,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Maddox Arlett,4,"Defender D 6'5""",So.,6-5,,Laguna Hills,,https://calbears.com/sports/mens-water-polo/roster/maddox-arlett/26807,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
