school,record,player_name,position,height,hometown,class_year,source_url
USC,,,,,"Danville, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"San Diego, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Istanbul, Türkiye",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Newport Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Palos Verdes Estates, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"La Jolla, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Ladera Ranch, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Huntington Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Newport Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Tiburon, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Porter Ranch, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Riverside, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Belgrade, Serbia",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"San Diego, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Rancho Santa Fe, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Palo Alto, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Sydney, Australia",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Long Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Barcelona, Spain",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Old Greenwich, Conn.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Belgrade, Serbia",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Belgrade, Serbia",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Mill Valley, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Huntington Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Danville, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"San Diego, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Istanbul, Türkiye",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Newport Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Palos Verdes Estates, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"La Jolla, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Ladera Ranch, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
USC,,,,,"Huntington Beach, Calif.",,https://usctrojans.com/sports/mens-water-polo/roster
California,,1 Riley Clansen,,6-2,"Santa Ana, Calif.",R-So.,https://calbears.com/sports/mens-water-polo/roster
California,,1 James Peace III,,6-6,Los Angeles,R-Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,1 Aran Pina,,,,Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,2 Tomas Perrone,,,"Barcelona, Spain",Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,3 Kai Inoue,,5-10,"Huntington Beach, Calif.",Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,4 Maddox Arlett,,6-5,Laguna Hills,So.,https://calbears.com/sports/mens-water-polo/roster
California,,5 Dominic Brown,,6-6,"Concord, Calif.",R-So.,https://calbears.com/sports/mens-water-polo/roster
California,,6 Chase Wilson,,6-1,"New York, N.Y.",Jr.,https://calbears.com/sports/mens-water-polo/roster
California,,7 Albert Ponferrada,,6-4,"Barcelona, Spain",Sr.,https://calbears.com/sports/mens-water-polo/roster
California,,8 Beso Akhvlediani,,,"Tbilisi, Georgia",Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,9 Milan Sumich,,6-7,,Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,10 Loui Schuler,,,,Gr.,https://calbears.com/sports/mens-water-polo/roster
California,,11 Alex Oprea,,6-4,"Downey, Calif.",So.,https://calbears.com/sports/mens-water-polo/roster
California,,12 Marci Szatmary,,6-2,"San Diego, Calif.",Sr.,https://calbears.com/sports/mens-water-polo/roster
California,,13 Patrik Kolak,,6-2,"Dubrovnik, Croatia",So.,https://calbears.com/sports/mens-water-polo/roster
California,,14 Brennan Fuchslin,,6-2,"Dixon, Calif.",So.,https://calbears.com/sports/mens-water-polo/roster
California,,15 Nik Mirkovic,,6-3,"Irvine, Calif.",Sr.,https://calbears.com/sports/mens-water-polo/roster
California,,16 Gigo Sarimsakci,,6-5,"San Francisco, Calif.",Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,17 Ryder Hagan,,6-5,"Danville, Calif.",R-Jr.,https://calbears.com/sports/mens-water-polo/roster
California,,19 Patrick Stice,,6-5,"Orinda, Calif.",Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,20 Luke Bachler,,6-4,"Woodside, Calif.",Jr.,https://calbears.com/sports/mens-water-polo/roster
California,,21 Bende Pardi,,6-4,"Budapest, Hungary",R-Sr.,https://calbears.com/sports/mens-water-polo/roster
California,,22 Seth Bousfield,,6-8,"Granite Bay, Calif.",R-Fr.,https://calbears.com/sports/mens-water-polo/roster
California,,25 William Kelly,,6-3,"Laguna Beach, Calif.",Sr.,https://calbears.com/sports/mens-water-polo/roster
Fordham,,1 Kristof Magony,,6-0,"Szeged, Hungary",So.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,1A Matthew Bonello DuPuis,,6-3,"Sliema, Malta",Gr.,https://fordhamsports.com/sports/mens-water-polo/roster
