season,school,player_name,jersey_number,position,class_year,height,weight,hometown,high_school,profile_url,roster_url,team_record_2025,team_w_2025,team_l_2025,team_t_2025,name,swimcloud_url,swimcloud_50free_time,swimcloud_50free_course,swimcloud_50free_note,swimcloud_high_school,swimcloud_grad_year
2025,UCLA,Chase Dodd,15,Attacker,Redshirt Senior,6-3,,"Long Beach, Calif.",Huntington Beach HS,https://uclabruins.com/sports/mens-water-polo/roster/chase-dodd/15396,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Chase Dodd,https://www.swimcloud.com/swimmer/504699/times/,23.54,LCM,ok;score=11;cand=Chase Dodd;tried=1;parse=ok,Home,
2025,UCLA,Harry Tucker,16,Center Defender,Redshirt Freshman,6-5,,"Perth, Australia",Wesley College,https://uclabruins.com/sports/mens-water-polo/roster/harry-tucker/15413,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Harry Tucker,,,,no_verified_candidate;tried=1,,
2025,UCLA,Andrew Spencer,17,Attacker,Redshirt Freshman,6-4,,"Los Altos, Calif.",Sacred Heart Prep,https://uclabruins.com/sports/mens-water-polo/roster/andrew-spencer/15409,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Andrew Spencer,https://www.swimcloud.com/swimmer/2377742/times/,21.08,SCY,ok;score=13;cand=Andrew Spencer;tried=1;parse=ok,Home,
2025,UCLA,Zac Miller,20,Attacker,Freshman,5-10,,"Agoura Hills, Calif.",Westlake HS,https://uclabruins.com/sports/mens-water-polo/roster/zac-miller/15416,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Zac Miller,https://www.swimcloud.com/swimmer/294984/times/,21.76,LCM,ok;score=7;cand=Zachariah Miller;tried=1;parse=ok,(CA),
2025,UCLA,Hayden O'Hare,21,Attacker,Freshman,6-3,,"Lafayette, Calif.",Campolindo HS,https://uclabruins.com/sports/mens-water-polo/roster/hayden-ohare/15417,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Hayden O'Hare,https://www.swimcloud.com/swimmer/2341075/times/,24.20,SCY,ok;score=7;cand=Hayden O'Hare;tried=1;parse=ok,Home,
2025,UCLA,Santino Rossi,22,Center Defender,Freshman,6-3,,"Laguna Beach, Calif.",Newport Harbor HS,https://uclabruins.com/sports/mens-water-polo/roster/santino-rossi/15418,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Santino Rossi,https://www.swimcloud.com/swimmer/1803447/times/,23.15,SCY,ok;score=4;cand=Santino Rossi;tried=1;parse=ok,(Santa Ana),
2025,UCLA,Trey Doten,23,Attacker,Redshirt Senior,6-4,,"Davis, Calif.",Davis Senior HS,https://uclabruins.com/sports/mens-water-polo/roster/trey-doten/15398,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Trey Doten,,,,no_verified_candidate;tried=1,,
2025,UCLA,Ryder Dodd,24,Attacker,Sophomore,6-0,,"Long Beach, Calif.",JSerra Catholic HS,https://uclabruins.com/sports/mens-water-polo/roster/ryder-dodd/15397,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Ryder Dodd,https://www.swimcloud.com/swimmer/1820211/times/,21.88,LCM,ok;score=12;cand=Ryder Dodd;tried=1;parse=ok,Home,
2025,UCLA,Vinnie Merk,25,Attacker,Redshirt Junior,6-3,,"Huntington Beach, Calif.",Mater Dei HS,https://uclabruins.com/sports/mens-water-polo/roster/vinnie-merk/15406,https://uclabruins.com/sports/mens-water-polo/roster,,,,,Vinnie Merk,https://www.swimcloud.com/swimmer/1099079/times/,21.45,SCY,ok;score=10;cand=Vinnie Merk;tried=1;parse=ok,(Santa Ana),
2025,USC,Luke Harris,1,G,Fr.,6-2,,"Newport Beach, Calif.",Newport Harbor HS,https://usctrojans.com/sports/mens-water-polo/roster/luke-harris/18449,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Luke Harris,https://www.swimcloud.com/swimmer/505266/times/,23.88,LCM,ok;score=4;cand=Luke Harris;tried=1;parse=ok,"Bountiful, UT",
2025,USC,Charles Mills,1,G,R-So.,6-5,,"Tiburon, Calif.",Redwood HS,https://usctrojans.com/sports/mens-water-polo/roster/charles-mills/18454,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Charles Mills,,,,no_verified_candidate;tried=6,,
2025,USC,Nemo Pavoggi,1,G,So.,6-2,,"Porter Ranch, Calif.",Oaks Christian HS,https://usctrojans.com/sports/mens-water-polo/roster/nemo-pavoggi/18458,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Nemo Pavoggi,https://www.swimcloud.com/swimmer/2376731/times/,24.87,SCY,ok;score=10;cand=Nemo Pavoggi;tried=1;parse=ok,,
2025,USC,Evan Ausmus,2,DR,Sr.,6-0,,"Riverside, Calif.",Martin Luther King HS,https://usctrojans.com/sports/mens-water-polo/roster/evan-ausmus/18436,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Evan Ausmus,https://www.swimcloud.com/swimmer/1099927/times/,,,ok;score=14;cand=Evan Ausmus;tried=1;parse=not_found,(CA),
2025,USC,Stefan Brankovic,2,UT,Jr.,6-4,,"Belgrade, Serbia",Economic School,https://usctrojans.com/sports/mens-water-polo/roster/stefan-brankovic/18441,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Stefan Brankovic,,,,no_verified_candidate;tried=1,,
2025,USC,Jack Martin,4,2M,R-Sr.,6-3,,"San Diego, Calif.",The Bishop's School,https://usctrojans.com/sports/mens-water-polo/roster/jack-martin/18453,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Jack Martin,https://www.swimcloud.com/swimmer/3003022/times/,21.82,SCM,ok;score=7;cand=Jack Martin;tried=1;parse=ok,Home,
2025,USC,Gavin Conant,5,DR,Fr.,6-2,,"Rancho Santa Fe, Calif.",JSerra HS,https://usctrojans.com/sports/mens-water-polo/roster/gavin-conant/18444,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Gavin Conant,https://www.swimcloud.com/swimmer/1831050/times/,24.84,SCY,ok;score=4;cand=Gavin Conant;tried=1;parse=ok,Home,
2025,USC,Jack Vort,6,DR,Sr.,6-4,,"Palo Alto, Calif.",Sacred Heart Prep,https://usctrojans.com/sports/mens-water-polo/roster/jack-vort/18460,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Jack Vort,https://www.swimcloud.com/swimmer/1966381/times/,16.83,LCM,ok;score=15;cand=Jack Vort;tried=1;parse=ok,Home,
2025,USC,Andrej Grgurevic,7,UT,Sr.,6-7,,"Sydney, Australia",Newington College,https://usctrojans.com/sports/mens-water-polo/roster/andrej-grgurevic/18447,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Andrej Grgurevic,,,,no_verified_candidate;tried=1,,
2025,USC,Zac Crenshaw,8,2M,Sr.,6-3,,"Long Beach, Calif.",Wilson HS,https://usctrojans.com/sports/mens-water-polo/roster/zac-crenshaw/18446,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Zac Crenshaw,https://www.swimcloud.com/swimmer/417666/times/,25.20,SCY,ok;score=9;cand=Zachary Crenshaw;tried=1;parse=ok,(CA),
2025,USC,Robert L pez Duart,9,DR,Jr.,6-1,,"Barcelona, Spain",IES CAR de Sant Cugat,https://usctrojans.com/sports/mens-water-polo/roster/robert-lpez-duart/18452,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Robert L pez Duart,,,,no_verified_candidate;tried=1,,
2025,USC,Luke Nelson,10,UT,Jr.,6-6,,"Old Greenwich, Conn.",Greenwich Country Day HS,https://usctrojans.com/sports/mens-water-polo/roster/luke-nelson/18457,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Luke Nelson,https://www.swimcloud.com/swimmer/964242/times/,,,ok;score=8;cand=Luke Nelson;tried=1;parse=not_found,,
2025,USC,Strahinja Krstic,11,2M,Fr.,6-3,,"Belgrade, Serbia",Savremena Gimazija,https://usctrojans.com/sports/mens-water-polo/roster/strahinja-krstic/18450,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Strahinja Krstic,,,,no_verified_candidate;tried=2,,
2025,USC,Mihailo Vukazic,12,DR,Sr.,6-7,,"Belgrade, Serbia",Secondary Graphic School,https://usctrojans.com/sports/mens-water-polo/roster/mihailo-vukazic/18461,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Mihailo Vukazic,,,,no_verified_candidate;tried=1,,
2025,USC,Reed Hanna,13,2M,Fr.,6-4,,"Mill Valley, Calif.",Tamalpais HS,https://usctrojans.com/sports/mens-water-polo/roster/reed-hanna/18448,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Reed Hanna,,,,no_verified_candidate;tried=6,,
2025,USC,Colt Bradley,14,UT,Fr.,6-3,,"Huntington Beach, Calif.",JSerra HS,https://usctrojans.com/sports/mens-water-polo/roster/colt-bradley/18440,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Colt Bradley,https://www.swimcloud.com/swimmer/1803294/times/,23.29,SCY,ok;score=7;cand=Colt Bradley;tried=1;parse=ok,Home,
2025,USC,Breydon Congo,15,DR,Fr.,6-4,,"Danville, Calif.",De La Salle HS,https://usctrojans.com/sports/mens-water-polo/roster/breydon-congo/18445,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Breydon Congo,https://www.swimcloud.com/swimmer/1257994/times/,21.60,SCY,ok;score=8;cand=BREYDON CONGO;tried=1;parse=ok,(CA),
2025,USC,Ben Mirisch,16,UT,So.,6-6,,"San Diego, Calif.",Cathedral Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/ben-mirisch/18463,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Ben Mirisch,https://www.swimcloud.com/swimmer/2392503/times/,22.71,SCY,ok;score=12;cand=Benjamin Mirisch;tried=1;parse=ok,Home,
2025,USC,Efe Naipoglu,17,DR,Fr.,6-3,,"Istanbul, Türkiye",Notre Dame de Sion French HS,https://usctrojans.com/sports/mens-water-polo/roster/efe-naipoglu/18456,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Efe Naipoglu,,,,no_verified_candidate;tried=1,,
2025,USC,Connor Cohen,21,2M,Sr.,6-3,,"Newport Beach, Calif.",Santa Margarita Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/connor-cohen/18443,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Connor Cohen,,,,no_verified_candidate;tried=1,,
2025,USC,Taj Whitehead,22,DR,So.,6-4,,"Palos Verdes Estates, Calif.",Palos Verdes HS,https://usctrojans.com/sports/mens-water-polo/roster/taj-whitehead/18462,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Taj Whitehead,https://www.swimcloud.com/swimmer/1474163/times/,21.98,SCY,ok;score=13;cand=Taj Whitehead;tried=1;parse=ok,Home,
2025,USC,Chase Landa,23,DR,R-So.,6-0,,"La Jolla, Calif.",The Bishop's School,https://usctrojans.com/sports/mens-water-polo/roster/chase-landa/18451,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Chase Landa,,,,no_verified_candidate;tried=1,,
2025,USC,Spencer Averitt,27,2M,Jr.,6-2,,"Ladera Ranch, Calif.",Santa Margarita Catholic HS,https://usctrojans.com/sports/mens-water-polo/roster/spencer-averitt/18437,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Spencer Averitt,https://www.swimcloud.com/swimmer/1803450/times/,23.38,SCY,ok;score=14;cand=Spencer Averitt;tried=1;parse=ok,Home,
2025,USC,Zach Bettino,28,DR,Jr.,6-3,,"Huntington Beach, Calif.",Huntington Beach HS,https://usctrojans.com/sports/mens-water-polo/roster/zach-bettino/18439,https://usctrojans.com/sports/mens-water-polo/roster,,,,,Zach Bettino,,,,no_verified_candidate;tried=1,,
2025,Stanford,Men's Basketball - Roster,,,,,,,,https://gostanford.com/sports/mens-basketball/roster/,https://gostanford.com/sports/mens-water-polo/roster,,,,,Men's Basketball - Roster,,,,no_verified_candidate;tried=1,,
2025,Stanford,Alex Gheorghe Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/alex-gheorghe,https://gostanford.com/sports/mens-water-polo/roster,,,,,Alex Gheorghe Season,https://www.swimcloud.com/swimmer/3140829/times/,,,ok;score=4;cand=Alexis Gheorghe;tried=1;parse=not_found,(Canyon Country),
2025,Stanford,Ben Forer Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ben-forer,https://gostanford.com/sports/mens-water-polo/roster,,,,,Ben Forer Season,https://www.swimcloud.com/swimmer/1693573/times/,16.89,LCM,ok;score=4;cand=BEN FORER;tried=1;parse=ok,(CA),
2025,Stanford,Ben Oerlemans Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ben-oerlemans,https://gostanford.com/sports/mens-water-polo/roster,,,,,Ben Oerlemans Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Botond Balogh Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/botond-balogh,https://gostanford.com/sports/mens-water-polo/roster,,,,,Botond Balogh Season,https://www.swimcloud.com/swimmer/2793786/times/,33.19,LCM,ok;score=4;cand=Botond BALOGH;tried=1;parse=ok,,
2025,Stanford,Chase McFarland Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/chase-mcfarland,https://gostanford.com/sports/mens-water-polo/roster,,,,,Chase McFarland Season,https://www.swimcloud.com/swimmer/826874/times/,24.11,SCY,ok;score=4;cand=Chase McFarland;tried=1;parse=ok,"Portland, IN",
